Frame In,Frame Out,Cont. Time,LHS (pix) u,LHS (pix) v,RHS (pix) u,RHS (pix) v,LHS (mm) X,LHS (mm) Y,RHS (mm) X,RHS (mm) Y,Cont. Length (mm),TOP1 (pix) u,TOP1 (pix) v,TOP2 (pix) u,TOP2 (pix) v,TOP1 (mm) X,TOP1 (mm) Y,TOP2 (mm) X,TOP2 (mm) Y,Deformation (mm)
1,2,0.03333333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.021696252465483234,0.0,0.021696252465483234,-20.0,5.0,30.0,5.0,-0.008678500986193294,0.0021696252465483235,0.01301775147928994,0.0021696252465483235,0.15946745562130177
2,3,0.03333333333333333,66.0,66.0,116.0,66.0,0.028639053254437868,0.028639053254437868,0.050335305719921106,0.028639053254437868,0.021696252465483238,46.0,71.0,96.0,71.0,0.019960552268244575,0.030808678500986193,0.041656804733727806,0.030808678500986193,0.16011834319526627
3,4,0.03333333333333333,93.33809511662429,93.33809511662429,143.3380951166243,93.33809511662429,0.04050173752595137,0.04050173752595137,0.0621979899914346,0.04050173752595137,0.021696252465483234,73.33809511662429,98.33809511662429,123.33809511662429,98.33809511662429,0.031823236539758076,0.042671362772499694,0.05351948900524131,0.042671362772499694,0.1596844181459566
4,5,0.03333333333333333,66.0,66.0,116.0,66.0,0.028639053254437868,0.028639053254437868,0.050335305719921106,0.028639053254437868,0.021696252465483238,46.0,71.0,96.0,71.0,0.019960552268244575,0.030808678500986193,0.041656804733727806,0.030808678500986193,0.16011834319526627
5,6,0.03333333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.021696252465483234,0.0,0.021696252465483234,-20.0,5.0,30.0,5.0,-0.008678500986193294,0.0021696252465483235,0.01301775147928994,0.0021696252465483235,0.15990138067061144
6,7,0.03333333333333333,66.0,66.0,116.0,66.0,0.028639053254437868,0.028639053254437868,0.050335305719921106,0.028639053254437868,0.021696252465483238,46.0,71.0,96.0,71.0,0.019960552268244575,0.030808678500986193,0.041656804733727806,0.030808678500986193,0.15990138067061144
7,8,0.03333333333333333,66.0,66.0,116.0,66.0,0.028639053254437868,0.028639053254437868,0.050335305719921106,0.028639053254437868,0.021696252465483238,46.0,71.0,96.0,71.0,0.019960552268244575,0.030808678500986193,0.041656804733727806,0.030808678500986193,0.15990138067061144
8,9,0.03333333333333333,336.53528789712385,336.53528789712385,386.53528789712385,336.53528789712385,0.14603109139520168,0.14603109139520168,0.1677273438606849,0.14603109139520168,0.021696252465483234,316.53528789712385,341.53528789712385,366.53528789712385,341.53528789712385,0.13735259040900838,0.14820071664175,0.1590488428744916,0.14820071664175,0.15946745562130177
9,10,0.03333333333333333,132.0,132.0,182.0,132.0,0.057278106508875735,0.057278106508875735,0.07897435897435898,0.057278106508875735,0.02169625246548324,112.0,137.0,162.0,137.0,0.04859960552268244,0.05944773175542406,0.07029585798816568,0.05944773175542406,0.16011834319526627
10,11,0.03333333333333333,6347.676740351544,6347.676740351544,6397.676740351544,6347.676740351544,2.7544159425588552,2.7544159425588552,2.776112195024339,2.7544159425588552,0.021696252465483568,6327.676740351544,6352.676740351544,6377.676740351544,6352.676740351544,2.745737441572662,2.756585567805404,2.767433694038145,2.756585567805404,0.16055226824457594
